Day,Predict,UK number of case,Italy number of case,Spain number of case,France number of case,German number of case
1,3,2,0,0,0,0
2,3,2,0,0,0,0
3,3,2,0,0,0,0
4,3,2,0,0,0,0
5,3,2,0,0,0,0
6,4,2,0,0,0,0
7,21,3,0,0,0,0
8,79,3,0,0,0,0
9,157,3,0,0,0,0
10,229,4,0,0,0,0
11,323,8,0,0,0,0
12,470,8,0,0,0,0
13,655,8,0,0,0,0
14,889,9,0,0,0,0
15,1128,9,0,0,0,0
16,1701,9,0,0,0,0
17,2036,9,3,2,12,16
18,2502,9,3,2,12,16
19,3089,9,3,2,12,16
20,3858,9,3,2,12,16
21,4636,9,3,2,12,16
22,5883,9,4,2,12,16
23,7375,9,21,2,12,16
24,9172,9,79,2,12,16
25,10149,13,157,2,12,16
26,12462,13,229,3,12,16
27,15113,13,323,9,14,18
28,17660,13,470,13,18,26
29,21157,19,655,25,38,48
30,24747,23,889,33,57,74
31,27980,35,1128,58,100,79
32,31506,40,1701,84,130,130
33,35713,51,2036,120,191,165
34,41035,85,2502,165,212,203
35,47021,114,3089,228,285,262
36,53578,160,3858,282,423,545
37,59138,206,4636,401,653,670
38,63927,271,5883,525,949,800
39,69176,342,7375,674,1209,1040
40,74386,373,9172,1231,1412,1224
41,80589,456,10149,1695,1784,1565
42,86498,590,12462,2277,2281,1966
43,92472,797,15113,3146,2876,2745
44,97689,1140,17660,5232,3661,3675
45,101739,1372,21157,6391,4499,4599
46,105792,1543,24747,7988,5423,5813
47,110574,1950,27980,9942,6633,7272
48,115242,2626,31506,11826,7730,9367
49,119827,3269,35713,14769,9134,12327
50,124632,3983,41035,18077,10995,15320
51,2,5018,47021,21571,12612,19848
52,2,5683,53578,25496,14459,22364
53,2,6650,59138,28768,16018,24873
54,2,8077,63927,35136,19856,29056
55,2,9529,69176,42058,22304,32991
56,2,11658,74386,49515,25233,37323
57,2,14543,80589,57786,29155,43938
58,2,17089,86498,65719,32964,50871
59,2,19522,92472,73235,37575,57695
60,3,22141,97689,80110,40174,62435
61,9,25150,101739,87956,44550,66885
62,13,29474,105792,95323,52128,71808
63,25,33718,110574,104118,56989,77981
64,33,38168,115242,112065,59105,84794
65,58,41903,119827,119199,82165,91159
66,84,47806,124632,126168,89953,96092
67,120,,,,,
68,165,,,,,
69,228,,,,,
70,282,,,,,
71,401,,,,,
72,525,,,,,
73,674,,,,,
74,1231,,,,,
75,1695,,,,,
76,2277,,,,,
77,3146,,,,,
78,5232,,,,,
79,6391,,,,,
80,7988,,,,,
81,9942,,,,,
82,11826,,,,,
83,14769,,,,,
84,18077,,,,,
85,21571,,,,,
86,25496,,,,,
87,28768,,,,,
88,35136,,,,,
89,42058,,,,,
90,49515,,,,,
91,57786,,,,,
92,65719,,,,,
93,73235,,,,,
94,80110,,,,,
95,87956,,,,,
96,95323,,,,,
97,104118,,,,,
98,112065,,,,,
99,119199,,,,,
100,126168,,,,,
101,16,,,,,
102,16,,,,,
103,16,,,,,
104,16,,,,,
105,16,,,,,
106,16,,,,,
107,16,,,,,
108,16,,,,,
109,16,,,,,
110,16,,,,,
111,18,,,,,
112,26,,,,,
113,48,,,,,
114,74,,,,,
115,79,,,,,
116,130,,,,,
117,165,,,,,
118,203,,,,,
119,262,,,,,
120,545,,,,,
121,670,,,,,
122,800,,,,,
123,1040,,,,,
124,1224,,,,,
125,1565,,,,,
126,1966,,,,,
127,2745,,,,,
128,3675,,,,,
129,4599,,,,,
130,5813,,,,,
131,7272,,,,,
132,9367,,,,,
133,12327,,,,,
134,15320,,,,,
135,19848,,,,,
136,22364,,,,,
137,24873,,,,,
138,29056,,,,,
139,32991,,,,,
140,37323,,,,,
141,43938,,,,,
142,50871,,,,,
143,57695,,,,,
144,62435,,,,,
145,66885,,,,,
146,71808,,,,,
147,77981,,,,,
148,84794,,,,,
149,91159,,,,,
150,96092,,,,,
151,12,,,,,
152,12,,,,,
153,12,,,,,
154,12,,,,,
155,12,,,,,
156,12,,,,,
157,12,,,,,
158,12,,,,,
159,12,,,,,
160,12,,,,,
161,14,,,,,
162,18,,,,,
163,38,,,,,
164,57,,,,,
165,100,,,,,
166,130,,,,,
167,191,,,,,
168,212,,,,,
169,285,,,,,
170,423,,,,,
171,653,,,,,
172,949,,,,,
173,1209,,,,,
174,1412,,,,,
175,1784,,,,,
176,2281,,,,,
177,2876,,,,,
178,3661,,,,,
179,4499,,,,,
180,5423,,,,,
181,6633,,,,,
182,7730,,,,,
183,9134,,,,,
184,10995,,,,,
185,12612,,,,,
186,14459,,,,,
187,16018,,,,,
188,19856,,,,,
189,22304,,,,,
190,25233,,,,,
191,29155,,,,,
192,32964,,,,,
193,37575,,,,,
194,40174,,,,,
195,44550,,,,,
196,52128,,,,,
197,56989,,,,,
198,59105,,,,,
199,82165,,,,,
200,89953,,,,,
201,9,,,,,
202,9,,,,,
203,9,,,,,
204,9,,,,,
205,9,,,,,
206,9,,,,,
207,9,,,,,
208,9,,,,,
209,13,,,,,
210,13,,,,,
211,13,,,,,
212,13,,,,,
213,19,,,,,
214,23,,,,,
215,35,,,,,
216,40,,,,,
217,51,,,,,
218,85,,,,,
219,114,,,,,
220,160,,,,,
221,206,,,,,
222,271,,,,,
223,342,,,,,
224,373,,,,,
225,456,,,,,
226,590,,,,,
227,797,,,,,
228,1140,,,,,
229,1372,,,,,
230,1543,,,,,
231,1950,,,,,
232,2626,,,,,
233,3269,,,,,
234,3983,,,,,
235,5018,,,,,
236,5683,,,,,
237,6650,,,,,
238,8077,,,,,
239,9529,,,,,
240,11658,,,,,
241,14543,,,,,
242,17089,,,,,
243,19522,,,,,
244,22141,,,,,
245,25150,,,,,
246,29474,,,,,
247,33718,,,,,
248,38168,,,,,
249,41903,,,,,
250,47806,,,,,
